REGIÃO ADMINISTRATIVA,2018,2019,PERCENTUAL DE PARTICIPAÇÃO - ANO 2018,PERCENTUAL DE PARTICIPAÇÃO - ANO 2019
CEILANDIA,2479,2816,16.1,17.0
PLANALTINA,1234,1423,8.0,8.6
SAMAMBAIA,1167,1391,7.6,8.4
GAMA,892,986,5.8,6.0
TAGUATINGA,1000,980,6.5,5.9
RECANTO DAS EMAS,918,907,6.0,5.5
SANTA MARIA,731,825,4.8,5.0
SAO SEBASTIAO,719,782,4.7,4.7
BRASILIA,766,769,5.0,4.6
SOBRADINHO,527,538,3.4,3.3
GUARA,479,535,3.1,3.2
AGUAS CLARAS,530,517,3.4,3.1
SOBRADINHO 2,509,505,3.3,3.1
ITAPOA,403,493,2.6,3.0
PARANOA,465,479,3.0,2.9
BRAZLANDIA,382,387,2.5,2.3
ESTRUTURAL,348,360,2.3,2.2
VICENTE PIRES,364,360,2.4,2.2
RIACHO FUNDO 2,315,314,2.0,1.9
RIACHO FUNDO,233,268,1.5,1.6
NUCLEO BANDEIRANTE,141,120,0.9,0.7
CANDANGOLANDIA,82,113,0.5,0.7
LAGO NORTE,97,101,0.6,0.6
CRUZEIRO,90,96,0.6,0.6
FERCAL,97,88,0.6,0.5
VARJAO DO TORTO,87,88,0.6,0.5
SUDOESTE,82,87,0.5,0.5
LAGO SUL,79,86,0.5,0.5
PARK WAY,58,51,0.4,0.3
JARDIM BOTANICO,62,50,0.4,0.3
SIA,32,34,0.2,0.2
Total,15368,16549,100.00,100.00
